Description
long intergenic non-protein coding RNA 1777
C1orf167 antisense RNA 1
long intergenic non-protein coding RNA 1141
MYOM3 antisense RNA 1
long intergenic non-protein coding RNA 2793
long intergenic non-protein coding RNA 1648
MED8 antisense RNA 1
long intergenic non-protein coding RNA 2794
AGBL4 antisense RNA 1
long intergenic non-protein coding RNA 1562
TTC39A antisense RNA 1
long intergenic non-protein coding RNA 1135
ROR1 antisense RNA 1
long intergenic non-protein coding RNA 1758
ZRANB2 antisense RNA 1
ERICH3 antisense RNA 1
long intergenic non-protein coding RNA 1362
DPYD antisense RNA 1
long intergenic non-protein coding RNA 1677
long intergenic non-protein coding RNA 1527
ARHGEF2 antisense RNA 1
GAS5 antisense RNA 1
long intergenic non-protein coding RNA 1732
long intergenic non-protein coding RNA 1699
long intergenic non-protein coding RNA 272
long intergenic non-protein coding RNA 1633
long intergenic non-protein coding RNA 1720
long intergenic non-protein coding RNA 628
long intergenic non-protein coding RNA 467
long intergenic non-protein coding RNA 2771
PROX1 antisense RNA 1
long intergenic non-protein coding RNA 2257
long intergenic non-protein coding RNA 1641
OBSCN antisense RNA 1
long intergenic non-protein coding RNA 2815
long intergenic non-protein coding RNA 1682
long intergenic non-protein coding RNA 582
long intergenic non-protein coding RNA 1348
long intergenic non-protein coding RNA 2774
long intergenic non-protein coding RNA 1939
long intergenic non-protein coding RNA 1248
long intergenic non-protein coding RNA 1247
long intergenic non-protein coding RNA 1824
long intergenic non-protein coding RNA 570
long intergenic non-protein coding RNA 1808
FOSL2 antisense RNA 1
long intergenic non-protein coding RNA 1946
long intergenic non-protein coding RNA 1318
long intergenic non-protein coding RNA 1794
long intergenic non-protein coding RNA 1914
PRKCE antisense RNA 1
long intergenic non-protein coding RNA 1118
EML6 antisense RNA 1
long intergenic non-protein coding RNA 1797
long intergenic non-protein coding RNA 1799
long intergenic non-protein coding RNA 1828
LBX2 antisense RNA 1
long intergenic non-protein coding RNA 1964
long intergenic non-protein coding RNA 1104
long intergenic non-protein coding RNA 1849
long intergenic non-protein coding RNA 1103
long intergenic non-protein coding RNA 1159
long intergenic non-protein coding RNA 2946
long intergenic non-protein coding RNA 1594
NCKAP5 antisense RNA 1
long intergenic non-protein coding RNA 1911
KIF5C antisense RNA 1
long intergenic non-protein coding RNA 1850
BAZ2B antisense RNA 1
TANK antisense RNA 1
MAP3K20 antisense RNA 1
long intergenic non-protein coding RNA 1827
SATB2 antisense RNA 1
BZW1 antisense RNA 1
long intergenic non-protein coding RNA 1878
SNED1 antisense RNA 1
GRM7 antisense RNA 1
SRGAP3 antisense RNA 4
long intergenic non-protein coding RNA 620
long intergenic non-protein coding RNA 692
long intergenic non-protein coding RNA 1980
long intergenic non-protein coding RNA 693
RBMS3 antisense RNA 3
long intergenic non-protein coding RNA 2033
SNRK antisense RNA 1
ARHGEF3 antisense RNA 1
FAM3D antisense RNA 1
PRICKLE2 antisense RNA 3
ADAMTS9 antisense RNA 2
long intergenic non-protein coding RNA 870
long intergenic non-protein coding RNA 2025
ZBTB20 antisense RNA 3
ALDH1L1 antisense RNA 2
long intergenic non-protein coding RNA 1471
long intergenic non-protein coding RNA 2014
long intergenic non-protein coding RNA 2000
IL20RB antisense RNA 1
long intergenic non-protein coding RNA 1210
CLSTN2 antisense RNA 1
TM4SF1 antisense RNA 1
